NewQuestion,MC,
Title,,
QuestionText,Basic life support (BLS) is defined as:,
Points,1,
Difficulty,1,
Option,0,"a) invasive emergency medical interventions such as intravenous therapy, manual defibrillation, and advanced airway management."
Option,0,"b) any form of emergency medical treatment that is performed by advanced EMTs, paramedics, physicians, and emergency nurses."
Option,0,c) basic lifesaving treatment that is performed by bystanders while EMS providers are en route to the scene of an emergency.
Option,100,"d) noninvasive emergency care that is used to treat conditions such as airway obstruction, respiratory arrest, and cardiac arrest."
Hint,"Complexity: Moderate			Ahead: Elements of BLS			Subject:BLS Resuscitation, Page 557			Title: BLS Resuscitation			Feedback: See Elements of BLS			Taxonomy: Recall			Objective: 14-1 Explain the elements of basic life support (BLS), how it differs from advanced life support (ALS), and why BLS must be applied rapidly.",
NewQuestion,MC,
Title,,
QuestionText,"After ________ minutes without oxygen, permanent brain damage is possible.",
Points,1,
Difficulty,1,
Option,0,a) 1 to 2
Option,100,b) 4 to 6
Option,0,c) 2 to 3
Option,0,d) 7
Hint,"Complexity: Moderate			Ahead: Elements of BLS			Subject:BLS Resuscitation, Page 557			Title: BLS Resuscitation			Feedback: See Elements of BLS			Taxonomy: Recall			Objective: 14-1 Explain the elements of basic life support (BLS), how it differs from advanced life support (ALS), and why BLS must be applied rapidly.",
NewQuestion,MC,
Title,,
QuestionText,"After establishing that an adult patient is unresponsive, you should:",
Points,1,
Difficulty,1,
Option,0,a) manually open the airway.
Option,100,b) assess for breathing and a pulse.
Option,0,c) immediately begin chest compressions.
Option,0,"d) apply the AED and deliver a shock, if needed."
Hint,"Complexity: Moderate			Ahead: Assessing the Need for BLS			Subject:BLS Resuscitation, Page 561			Title: BLS Resuscitation			Feedback: See Assessing the Need for BLS			Taxonomy: Application			Objective: 14-2 Explain the goals of cardiopulmonary resuscitation (CPR) and when it should be performed on a patient.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following is NOT a BLS intervention?,
Points,1,
Difficulty,1,
Option,0,a) Abdominal thrusts
Option,0,b) Chest compressions
Option,100,c) Cardiac monitoring
Option,0,d) Automated defibrillation
Hint,"Complexity: Easy			Ahead: Elements of BLS			Subject:BLS Resuscitation, Page 558			Title: BLS Resuscitation			Feedback: See Elements of BLS			Taxonomy: Recall			Objective: 14-1 Explain the elements of basic life support (BLS), how it differs from advanced life support (ALS), and why BLS must be applied rapidly.",
NewQuestion,MC,
Title,,
QuestionText,Most prehospital cardiac arrests in adults occur as the result of:,
Points,1,
Difficulty,1,
Option,0,a) severe blunt trauma.
Option,100,b) a cardiac dysrhythmia.
Option,0,c) an acute ischemic stroke.
Option,0,d) obstruction of the airway.
Hint,"Complexity: Easy			Ahead: Automated External Defibrillation			Subject:BLS Resuscitation, Page 561			Title: BLS Resuscitation			Feedback: See Automated External Defibrillation			Taxonomy: Recall			Objective: 14-4 Discuss guidelines for circumstances that require the use of an automated external defibrillator (AED) on both adult and pediatric patients experiencing cardiac arrest.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following statements regarding ventricular fibrillation (VF) is correct?,
Points,1,
Difficulty,1,
Option,0,a) VF is a state of rapid ventricular contraction.
Option,0,b) Most patients in VF have a weak carotid pulse.
Option,0,c) Defibrillation is only indicated for witnessed VF.
Option,100,d) VF results in an absence of forward blood flow.
Hint,"Complexity: Moderate			Ahead: Automated External Defibrillation			Subject:BLS Resuscitation, Page 561			Title: BLS Resuscitation			Feedback: See Automated External Defibrillation			Taxonomy: Recall			Objective: 14-4 Discuss guidelines for circumstances that require the use of an automated external defibrillator (AED) on both adult and pediatric patients experiencing cardiac arrest.",
NewQuestion,MC,
Title,,
QuestionText,"You and your partner arrive at the side of a 60-year-old woman who collapsed about 7 minutes ago. She is unresponsive, apneic, and pulseless. You should:",
Points,1,
Difficulty,1,
Option,100,a) begin CPR and apply the AED as soon as it is available.
Option,0,b) immediately apply the AED and analyze her cardiac rhythm.
Option,0,c) begin CPR at a compression to ventilation ratio of 15:2.
Option,0,d) apply the AED if there is no response after 10 cycles of CPR.
Hint,"Complexity: Moderate			Ahead: Automated External Defibrillation			Subject:BLS Resuscitation, Page 562			Title: BLS Resuscitation			Feedback: See Automated External Defibrillation			Taxonomy: Application			Objective: 14-2 Explain the goals of cardiopulmonary resuscitation (CPR) and when it should be performed on a patient.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following statements regarding the use of an AED in children is correct?,
Points,1,
Difficulty,1,
Option,0,"a) If the patient is less than 1 year of age, an AED is preferred over a manual defibrillator."
Option,0,b) AEDs are only effective in pediatric patients if severe trauma is the cause of their cardiac arrest.
Option,100,c) AEDs can be used safely on infants and children by using pediatric pads and an energy reducer.
Option,0,d) AEDs are not used in pediatric patients because they do not experience ventricular fibrillation.
Hint,"Complexity: Moderate			Ahead: Automated External Defibrillation			Subject:BLS Resuscitation, Page 562			Title: BLS Resuscitation			Feedback: See Automated External Defibrillation			Taxonomy: Recall			Objective: 14-4 Discuss guidelines for circumstances that require the use of an automated external defibrillator (AED) on both adult and pediatric patients experiencing cardiac arrest.",
NewQuestion,MC,
Title,,
QuestionText,"Your partner is performing one-rescuer CPR on a middle-aged woman in cardiac arrest. When you apply the AED pads, you note that she has a medication patch over the same area where one of the AED pads will be placed. You should:",
Points,1,
Difficulty,1,
Option,0,a) apply the AED pad at least 1 inch away from the medication patch to avoid skin burns.
Option,0,b) continue CPR until you can determine the name of the medication contained in the patch.
Option,0,c) move the patch to another area of the patient’s chest and then properly apply the AED pad.
Option,100,"d) remove the medication patch, wipe away any medication residue, and apply the AED pad."
Hint,"Complexity: Moderate			Ahead: Automated External Defibrillation			Subject:BLS Resuscitation, Page 562			Title: BLS Resuscitation			Feedback: See Automated External Defibrillation			Taxonomy: Application			Objective: 14-5 Explain three special situations related to the use of an AED.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following maneuvers should be used to open a patient’s airway when a spinal injury is suspected?,
Points,1,
Difficulty,1,
Option,100,a) Jaw-thrust
Option,0,b) Tongue–jaw lift
Option,0,c) Head tilt–neck lift
Option,0,d) Head tilt–chin lift
Hint,"Complexity: Easy			Ahead: Opening the Airway and Providing Artificial Ventilation			Subject:BLS Resuscitation, Page 566			Title: BLS Resuscitation			Feedback: See Opening the Airway and Providing Artificial Ventilation			Taxonomy: Recall			Objective: 14-8 Describe the two techniques EMTs may use to open an adult patient’s airway and the circumstances that would determine when each technique would be used.",
NewQuestion,MC,
Title,,
QuestionText,Several attempts to adequately open a trauma patient’s airway with the jaw-thrust maneuver have been unsuccessful. You should:,
Points,1,
Difficulty,1,
Option,0,a) try opening the airway by lifting up on the chin.
Option,100,b) carefully perform the head tilt–chin lift maneuver.
Option,0,c) tilt the head back while lifting up on the patient’s neck.
Option,0,d) suction the airway and reattempt the jaw-thrust maneuver.
Hint,"Complexity: Moderate			Ahead: Opening the Airway and Providing Artificial Ventilation			Subject:BLS Resuscitation, Page 566			Title: BLS Resuscitation			Feedback: See Opening the Airway and Providing Artificial Ventilation			Taxonomy: Application			Objective: 14-8 Describe the two techniques EMTs may use to open an adult patient’s airway and the circumstances that would determine when each technique would be used.",
NewQuestion,MC,
Title,,
QuestionText,A patient should be placed in the recovery position when he or she:,
Points,1,
Difficulty,1,
Option,0,"a) is semiconscious, injured, and breathing adequately."
Option,0,b) has experienced trauma but is breathing effectively.
Option,100,"c) is unresponsive, uninjured, and breathing adequately."
Option,0,d) has a pulse but is unresponsive and breathing shallowly.
Hint,"Complexity: Easy			Ahead: Opening the Airway and Providing Artificial Ventilation			Subject:BLS Resuscitation, Page 567			Title: BLS Resuscitation			Feedback: See Opening the Airway and Providing Artificial Ventilation			Taxonomy: Recall			Objective: 14-9 Describe the recovery position and circumstances that would warrant its use as well as situations in which it would be contraindicated.",
NewQuestion,MC,
Title,,
QuestionText,"When performing chest compressions on an adult, the EMT should compress:",
Points,1,
Difficulty,1,
Option,0,a) at least 1 inch
Option,100,b) at least 2 inches
Option,0,c) between 1 inch and 2 inches
Option,0,d) greater than 2.4 inches
Hint,"Complexity: Easy			Ahead: Elements of BLS			Subject:BLS Resuscitation, Page 557			Title: BLS Resuscitation			Feedback: See Elements of BLS			Taxonomy: Recall			Objective: 14-7 Describe the purpose of external chest compressions.",
NewQuestion,MC,
Title,,
QuestionText,"When ventilating an apneic adult with a bag-mask device, you should deliver each breath:",
Points,1,
Difficulty,1,
Option,0,a) over a period of about 2 to 3 seconds.
Option,100,b) while watching for adequate chest rise.
Option,0,c) every 2 to 3 seconds (20 to 30 breaths/min).
Option,0,d) quickly to ensure adequate ventilation.
