NewQuestion,MC,
Title,,
QuestionText,Dyspnea is MOST accurately defined as:,
Points,1,
Difficulty,1,
Option,100,a) shortness of breath or difficulty breathing.
Option,0,b) a complete cessation of respiratory effort.
Option,0,c) a marked increase in the exhalation phase.
Option,0,d) labored breathing with reduced tidal volume.
Hint,"Complexity: Easy			Ahead: Introduction			Subject:Respiratory Emergencies, Page 628			Title: Respiratory Emergencies			Feedback: See Introduction			Taxonomy: Recall			Objective: 16-5 Describe different respiratory conditions that cause dyspnea, including their causes, assessment findings and symptoms, complications, and specific prehospital management and transport decisions.",
NewQuestion,MC,
Title,,
QuestionText,In what area of the lungs does respiration occur?,
Points,1,
Difficulty,1,
Option,100,a) Alveoli
Option,0,b) Trachea
Option,0,c) Bronchi
Option,0,d) Capillaries
Hint,"Complexity: Moderate			Ahead: Anatomy of the Respiratory System			Subject:Respiratory Emergencies, Page 629			Title: Respiratory Emergencies			Feedback: See Anatomy of the Respiratory System			Taxonomy: Recall			Objective: 16-1 List the structures and functions of the upper and lower airways, lungs, and accessory structures of the respiratory system.",
NewQuestion,MC,
Title,,
QuestionText,The two processes that occur during respiration are:,
Points,1,
Difficulty,1,
Option,0,a) ventilation and diffusion.
Option,100,b) inspiration and expiration.
Option,0,c) diffusion and oxygenation.
Option,0,d) oxygenation and ventilation.
Hint,"Complexity: Easy			Ahead: Physiology of Respiration			Subject:Respiratory Emergencies, Page 629			Title: Respiratory Emergencies			Feedback: See Physiology of Respiration			Taxonomy: Recall			Objective: 16-2 Explain the physiology of respiration; include the signs of normal breathing.",
NewQuestion,MC,
Title,,
QuestionText,In order for efficient pulmonary gas exchange to occur:,
Points,1,
Difficulty,1,
Option,0,a) the percentage of inhaled carbon dioxide must exceed the percentage of inhaled oxygen.
Option,0,b) there must be low quantities of pulmonary surfactant to allow for full alveolar expansion.
Option,0,c) the pulmonary capillaries must be completely constricted and the alveoli must be collapsed.
Option,100,d) oxygen and carbon dioxide must be able to freely diffuse across the alveolar–capillary membrane.
Hint,"Complexity: Moderate			Ahead: Physiology of Respiration			Subject:Respiratory Emergencies, Page 630			Title: Respiratory Emergencies			Feedback: See Physiology of Respiration			Taxonomy: Recall			Objective: 16-2 Explain the physiology of respiration; include the signs of normal breathing.",
NewQuestion,MC,
Title,,
QuestionText,"In a healthy individual, the brain stem stimulates breathing on the basis of:",
Points,1,
Difficulty,1,
Option,0,a) increased oxygen levels.
Option,0,b) decreased oxygen levels.
Option,100,c) increased carbon dioxide levels.
Option,0,d) decreased carbon dioxide levels.
Hint,"Complexity: Moderate			Ahead: Physiology of Respiration			Subject:Respiratory Emergencies, Page 631			Title: Respiratory Emergencies			Feedback: See Physiology of Respiration			Taxonomy: Recall			Objective: 16-2 Explain the physiology of respiration; include the signs of normal breathing.",
NewQuestion,MC,
Title,,
QuestionText,When the level of arterial carbon dioxide rises above normal:,
Points,1,
Difficulty,1,
Option,0,a) the brain stem inhibits respirations.
Option,100,b) respirations increase in rate and depth.
Option,0,c) exhalation lasts longer than inhalation.
Option,0,d) respirations decrease in rate and depth.
Hint,"Complexity: Moderate			Ahead: Physiology of Respiration			Subject:Respiratory Emergencies, Page 633			Title: Respiratory Emergencies			Feedback: See Physiology of Respiration			Taxonomy: Recall			Objective: 16-2 Explain the physiology of respiration; include the signs of normal breathing.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following is MOST characteristic of adequate breathing?,
Points,1,
Difficulty,1,
Option,0,a) 22 breaths/min with an irregular pattern of breathing and cyanosis
Option,0,b) 20 breaths/min with shallow movement of the chest wall and pallor
Option,100,c) 24 breaths/min with bilaterally equal breath sounds and pink skin
Option,0,d) 30 breaths/min with supraclavicular retractions and clammy skin
Hint,"Complexity: Easy			Ahead: Pathophysiology			Subject:Respiratory Emergencies, Page 631			Title: Respiratory Emergencies			Feedback: See Pathophysiology			Taxonomy: Analysis			Objective: 16-3 Discuss the pathophysiology of respiration, including examples of the common signs and symptoms a patient with inadequate breathing may present with in an emergency situation.",
NewQuestion,MC,
Title,,
QuestionText,An alert patient presents with a regular pattern of inhalation and exhalation and breath sounds that are clear and equal on both sides of the chest. These findings are consistent with:,
Points,1,
Difficulty,1,
Option,0,a) an obstructed airway.
Option,100,b) adequate air exchange.
Option,0,c) respiratory difficulty.
Option,0,d) respiratory insufficiency.
Hint,"Complexity: Easy			Ahead: Pathophysiology			Subject:Respiratory Emergencies, Page 631			Title: Respiratory Emergencies			Feedback: See Pathophysiology			Taxonomy: Analysis			Objective: 16-3 Discuss the pathophysiology of respiration, including examples of the common signs and symptoms a patient with inadequate breathing may present with in an emergency situation.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following statements regarding the hypoxic drive is correct?,
Points,1,
Difficulty,1,
Option,100,a) The hypoxic drive stimulates a person to breathe on the basis of low oxygen levels.
Option,0,b) Chronic carbon dioxide elimination often results in activation of the hypoxic drive.
Option,0,c) The hypoxic drive serves as the primary stimulus for breathing in healthy individuals.
Option,0,d) 100% supplemental oxygen will always cause apnea in patients with a hypoxic drive.
Hint,"Complexity: Moderate			Ahead: Pathophysiology			Subject:Respiratory Emergencies, Page 631			Title: Respiratory Emergencies			Feedback: See Pathophysiology			Taxonomy: Recall			Objective: 16-3 Discuss the pathophysiology of respiration, including examples of the common signs and symptoms a patient with inadequate breathing may present with in an emergency situation.",
NewQuestion,MC,
Title,,
QuestionText,"When administering supplemental oxygen to a hypoxemic patient with a chronic lung disease, you should:",
Points,1,
Difficulty,1,
Option,0,a) recall that most patients with chronic lung diseases are stimulated to breathe by increased carbon dioxide levels.
Option,100,"b) adjust the flow rate accordingly until you see symptom improvement, but be prepared to assist his or her ventilations."
Option,0,"c) begin with a low oxygen flow rate, even if the patient is unresponsive, because high-flow oxygen may depress his or her breathing."
Option,0,d) avoid positive-pressure ventilation because the majority of patients with chronic lung disease are at increased risk for lung trauma.
Hint,"Complexity: Moderate			Ahead: Pathophysiology			Subject:Respiratory Emergencies, Page 631			Title: Respiratory Emergencies			Feedback: See Pathophysiology			Taxonomy: Recall			Objective: 16-3 Discuss the pathophysiology of respiration, including examples of the common signs and symptoms a patient with inadequate breathing may present with in an emergency situation.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following conditions would be LEAST likely to result in hypoxia?,
Points,1,
Difficulty,1,
Option,0,a) Pleural effusion
Option,100,b) Severe anxiety
Option,0,c) Pulmonary edema
Option,0,d) Narcotic overdose
Hint,"Complexity: Moderate			Ahead: Causes of Dyspnea			Subject:Respiratory Emergencies, Page 633			Title: Respiratory Emergencies			Feedback: See Causes of Dyspnea			Taxonomy: Recall			Objective: 16-5 Describe different respiratory conditions that cause dyspnea, including their causes, assessment findings and symptoms, complications, and specific prehospital management and transport decisions.",
NewQuestion,MC,
Title,,
QuestionText,Treatment with continuous positive airway pressure (CPAP) would MOST likely be contraindicated in which of the following situations?,
Points,1,
Difficulty,1,
Option,0,"a) Pulmonary edema, history of hypertension, and anxiety"
Option,0,"b) Difficulty breathing, two-word dyspnea, and tachycardia"
Option,100,c) Shortness of breath and a blood pressure of 76/56 mm Hg
Option,0,d) Conscious and alert patient with an oxygen saturation of 85%
Hint,"Complexity: Moderate			Ahead: Treatment of Specific Conditions			Subject:Respiratory Emergencies, Page 663			Title: Respiratory Emergencies			Feedback: See Treatment of Specific Conditions			Taxonomy: Analysis			Objective: 16-5 Describe different respiratory conditions that cause dyspnea, including their causes, assessment findings and symptoms, complications, and specific prehospital management and transport decisions.",
NewQuestion,MC,
Title,,
QuestionText,Acute pulmonary edema would MOST likely develop as the result of:,
Points,1,
Difficulty,1,
Option,0,a) right-sided heart failure.
Option,0,b) severe hyperventilation.
Option,100,c) toxic chemical inhalation.
Option,0,d) an upper airway infection.
Hint,"Complexity: Moderate			Ahead: Causes of Dyspnea			Subject:Respiratory Emergencies, Page 634			Title: Respiratory Emergencies			Feedback: See Causes of Dyspnea			Taxonomy: Recall			Objective: 16-5 Describe different respiratory conditions that cause dyspnea, including their causes, assessment findings and symptoms, complications, and specific prehospital management and transport decisions.",
NewQuestion,MC,
Title,,
QuestionText,The respiratory distress that accompanies emphysema is caused by:,
Points,1,
Difficulty,1,
Option,0,a) repeated exposure to cigarette smoke.
Option,100,b) chronic stretching of the alveolar walls.
Option,0,c) massive constriction of the bronchioles.
Option,0,d) acute fluid accumulation in the alveoli.
